street_name,year,month,legal_p_at_12,legal_p_at_17,legal_p_at_22,parked_cars_at_12,parked_cars_at_17,parked_cars_at_22,occupancy_at_12_pct,occupancy_at_17_pct,occupancy_at_22_pct,wkb_geometry
A.L. Drewsens Vej,2016,9,18,18,18,18,25,25,100.0,139.0,139.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2017,3,7,7,7,3,5,9,43.0,71.0,129.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2017,3,18,18,18,17,18,22,94.0,100.0,122.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2017,9,7,7,7,3,9,9,43.0,129.0,129.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2017,9,18,18,18,16,21,22,89.0,117.0,122.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2018,3,7,7,7,8,9,8,114.0,129.0,114.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2018,3,17,17,17,18,21,19,106.0,124.0,112.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2018,9,6,6,6,7,9,9,117.0,150.0,150.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2018,9,17,17,17,21,23,24,124.0,135.0,141.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2019,3,6,6,6,7,9,10,117.0,150.0,167.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2019,3,17,17,17,14,13,13,82.0,76.0,76.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2019,9,6,6,6,5,5,9,83.0,83.0,150.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2019,9,18,18,18,17,17,19,94.0,94.0,106.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2020,9,6,6,6,4,9,9,67.0,150.0,150.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
